property_type,bed,bath,price,acre_lot,city,state,zip_code,house_size
residential,2,2,520500,8.2,Lakeville,Massachusetts,2347,1418
residential,3,1,165000,0.03,Philadelphia,Pennsylvania,19142,960
residential,6,5,2500000,5.01,Chester Twp,New Jersey,7930,7370
residential,4,3,849000,0.41,Fairfield,Connecticut,6824,2852
residential,2,2,1299000,0.03,Boston,Massachusetts,2113,1328
residential,3,3,684900,9.38,Northborough,Massachusetts,1532,2784
residential,5,3,134567,0.09,Bangor,Maine,4401,2698
residential,9,3,480000,0.06,Central Falls,Rhode Island,2863,5060
residential,4,3,295000,0.28,Egg Harbor City,New Jersey,8215,1760
residential,3,2,299900,0.02,Philadelphia,Pennsylvania,19134,2000
residential,4,5,1170000,1.0,Stamford,Connecticut,6902,4899
residential,2,1,255900,0.17,Long Branch,New Jersey,7740,1223
residential,2,2,499900,0.14,West Yarmouth,Massachusetts,2673,1080
residential,3,4,899000,0.07,Jersey City,New Jersey,7302,2204
residential,3,3,665000,0.42,Berwyn,Pennsylvania,19312,1911
residential,5,2,695000,1.01,Yarmouth Port,Massachusetts,2675,1705
residential,5,3,649000,0.14,Glen Ridge Boro Township,New Jersey,7028,1680
residential,4,2,699000,0.88,Lincoln Park,New Jersey,7035,2322
residential,5,2,337000,1.6,Hampden,Maine,4444,2465
residential,3,2,595000,5.02,Egg Harbor Township,New Jersey,8234,1908
residential,3,2,299900,0.17,Laconia,New Hampshire,3246,2404
residential,1,1,575000,0.02,Brooklyn,New York,11201,720
residential,3,3,250000,0.11,Burlington,New Jersey,8016,1636
residential,4,3,435000,1.06,West Brookfield,Massachusetts,1585,2736
residential,5,5,850000,0.95,Eliot,Maine,3903,3116
residential,3,2,499900,0.46,Parsippany Troy Hills Township,New Jersey,7054,20038
residential,3,1,225000,0.3,Bridgeton,New Jersey,8302,1184
residential,5,3,725000,1.03,Freehold,New Jersey,7728,3000
residential,3,2,549900,0.31,Shrewsbury,Massachusetts,1545,1400
residential,4,4,1099000,0.11,Staten Island,New York,10304,2840
residential,6,4,679900,1.82,Cromwell,Connecticut,6416,3184
residential,3,2,489277,1.09,Easton,Connecticut,6612,1812
residential,3,3,379900,0.07,Philadelphia,Pennsylvania,19150,1738
residential,2,2,615000,0.49,Shelburne,Massachusetts,1370,1146
residential,3,3,574999,0.09,New Rochelle,New York,10805,1574
residential,5,7,1899000,2.01,Weston,Connecticut,6883,6207
residential,3,2,349900,3.0,Lubec,Maine,4652,1480
residential,3,2,119900,0.01,Philadelphia,Pennsylvania,19121,850
residential,3,2,410000,0.17,Piscataway,New Jersey,8854,1008
residential,4,3,370000,0.23,Middletown,Delaware,19709,4846
residential,4,2,285000,0.3,Athol,Massachusetts,1331,3180
residential,2,3,499000,0.01,Philadelphia,Pennsylvania,19130,1600
residential,3,3,589000,1.15,Windham,Maine,4062,2088
residential,3,1,184000,0.02,Wilmington,Delaware,19805,1225
residential,3,3,599000,0.04,Bronx,New York,10466,1088
residential,3,1,94900,0.05,Darby,Pennsylvania,19023,1622
residential,2,3,399900,1.46,Smithfield,Rhode Island,2917,1591
residential,4,3,439900,0.22,Flemington,New Jersey,8822,2022
