make,model,year,price,mileage,condition,location
Toyota,Highlander,2025,33170,31228,Used,"Loveland, OH"
Ford,Bronco,2021,36000,21698,Used,"Florence, KY"
Kia,Carnival,2027,39850,0,New,"Cincinnati, OH"
MAZDA,MAZDA3,2026,33760,5039,Certified,"Cincinnati, OH"
Jeep,Wrangler,2022,25180,61504,Used,"Cincinnati, OH"
Chevrolet,Colorado,2023,34497,26038,Used,"Cincinnati, OH"
Hyundai,Palisade,2026,47790,9102,Used,"Kernersville, NC"
Porsche,Macan,2023,48348,24576,Certified,"Cincinnati, OH"
GMC,Terrain,2027,36300,3,New,"Cincinnati, OH"
Chevrolet,Silverado 1500,2023,38110,69534,Used,"Cincinnati, OH"
MAZDA,CX-50,2026,36880,7255,Certified,"Cincinnati, OH"
Acura,RDX,2023,33450,26990,Used,"Cincinnati, OH"
Honda,Accord,2025,32240,3391,Certified,"Cincinnati, OH"
Ford,Edge,2024,26826,48040,Used,"Milford, OH"
Chevrolet,Colorado,2026,0,9721,Used,"Florence, KY"
Toyota,Highlander,2022,30422,98903,Used,"Fort Wright, KY"
Honda,Passport,2022,27530,62826,Used,"Cincinnati, OH"
Chevrolet,Suburban,2019,34990,89965,Used,"Cincinnati, OH"
Jeep,Gladiator,2022,27200,29879,Used,"Cincinnati, OH"
Chevrolet,Equinox,2027,34550,5,New,"Wilmington, OH"
Toyota,Camry,2022,34880,37704,Used,"Dayton, OH"
Toyota,Highlander,2021,31260,101847,Used,"Fairfield, OH"
Lexus,UX 250h,2023,38535,2068,Certified,"Fort Wright, KY"
GMC,Sierra 1500,2021,37747,70011,Used,"Lebanon, OH"
Chevrolet,Traverse,2027,46300,5,New,"Florence, KY"
Ford,F150,2025,40830,43118,Used,"Milford, OH"
MAZDA,CX-90,2026,31920,26292,Used,"Cincinnati, OH"
Kia,Telluride,2027,45250,15,New,"Cincinnati, OH"
Kia,Telluride,2027,50550,15,New,"Cincinnati, OH"
Ford,F150,2023,43447,41950,Certified,"Cincinnati, OH"
Ford,Bronco,2023,38809,35709,Used,"Alexandria, KY"
Acura,Integra,2024,30490,9794,Certified,"Fairfield, OH"
GMC,Savana 2500,2025,37830,14484,Used,"West Chester, OH"
Jeep,Grand Cherokee,2025,36740,12052,Used,"Cincinnati, OH"
Ford,F150,2025,43450,10287,Used,"Dayton, OH"
Volkswagen,Atlas,2026,36390,13417,Certified,"Cincinnati, OH"
Lincoln,Aviator,2021,32049,62887,Used,"Milford, OH"
Lexus,NX 350h,2024,49890,34791,Used,"Ft Mitchell, KY"
Honda,Ridgeline,2023,32470,33311,Certified,"Cincinnati, OH"
Lexus,NX 350,2023,42240,41091,Used,"Cincinnati, OH"
Toyota,Venza,2021,29390,60235,Used,"Cincinnati, OH"
Kia,EV6,2024,35140,15519,Certified,"Florence, KY"
Chevrolet,Corvette,2015,45800,16751,Used,"Portsmouth, OH"
Lexus,ES 350,2021,,19833,Certified,"Durham, NC"
Acura,RDX,2021,32504,24834,Certified,"Woodside, NY"
GMC,Terrain,2027,40650,4,New,"Batavia, OH"
Kia,Sportage,2027,34300,5,New,"Cincinnati, OH"
Chevrolet,Equinox,2027,34550,8,New,"Tarpon Springs, FL"
GMC,Acadia,2026,39590,23340,Used,"Milford, OH"
Cadillac,XT4,2024,,10875,Used,"Cincinnati, OH"
Buick,Enclave,2026,50210,2940,Used,"Paris, KY"
Lexus,RX 350,2024,48390,14979,Used,"Harrison, OH"
Hyundai,Palisade,2024,35160,25749,Used,"Cincinnati, OH"
Honda,Odyssey,2023,34830,38027,Certified,"Cincinnati, OH"
Chevrolet,Equinox,2027,36800,6,New,"Florence, KY"
Honda,Odyssey,2019,26100,67840,Used,"Ft. Thomas, KY"
INFINITI,QX60,2027,53950,5,New,"West Park, FL"
Chevrolet,Traverse,2022,28700,78167,Used,"Florence, KY"
